Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
05/17/2004,12:00:00 PM,1.9,1028.5,-200,10.1305044936714,982.5,129,949.5,97,1470.25,879.25,25.075000286102,20.775000095367,0.651646529064536
05/17/2004,01:00:00 PM,1.7,984,-200,9.1386744975204,944.75,115,990,88,1423,747,25.800000667572,19.52499961853,0.63915743928508
05/17/2004,02:00:00 PM,1.5,984.75,-200,8.49349569485124,919.25,104,1027.75,86,1387,699.75,26.250000476837,18.875,0.634409573136393
05/17/2004,03:00:00 PM,1.7,980.75,-200,7.682679548673,886,129,1054,99,1362.5,695,25.775000095367,18.599999904633,0.60798341305512
05/17/2004,04:00:00 PM,1.7,1020,-200,9.02974804209978,940.5,138,1015.5,95,1425,756.25,25.675000190735,19.400000095367,0.630416271234199
05/17/2004,05:00:00 PM,2.4,1106.25,-200,13.40077850392,1097,135,901.75,105,1552,941,26.724999427795,17.099999904633,0.590941449561623
05/17/2004,06:00:00 PM,3.1,1153.25,-200,15.62943352332,1168.25,163,842,121,1644,1020.75,24.324999809265,19.775000095367,0.593344739859765
05/17/2004,07:00:00 PM,3.4,1214.75,-200,17.8057869604848,1233.75,180,795.5,125,1735,1167.25,23.52499961853,20.75,0.593656731596733
05/17/2004,08:00:00 PM,3,1093.75,-200,12.6536459787937,1072,170,887.75,122,1544.75,1104.5,21.97500038147,24.025000095367,0.626335584256956
05/17/2004,09:00:00 PM,1.2,943.5,-200,6.4294915709078,831.5,72,1072.25,81,1349.5,711.75,21.075000286102,26.249999523163,0.648089413920542
05/17/2004,10:00:00 PM,1.2,963.75,-200,7.10179212885164,861.25,69,1013.5,73,1398.25,734.5,20.85000038147,28.799999713898,0.701400344399486
05/17/2004,11:00:00 PM,1.3,1003.25,-200,7.35756037487877,872.25,79,987.5,80,1439,851,20.200000286102,31.200000286102,0.730364496277022
05/18/2004,12:00:00 AM,1,913.75,-200,5.21691899988497,774.25,53,1091.25,65,1322.75,706.25,19.950000286102,31.500000476837,0.726213586886862
05/18/2004,01:00:00 AM,0.4,839,-200,2.35020689048021,609.25,36,1275.75,59,1285.5,642.5,20.75,32.27499961853,0.781268481252137
05/18/2004,02:00:00 AM,0.3,829.75,-200,1.9651708724104,581.5,30,1309.5,50,1264.25,608,19.950000286102,34.5,0.795376773597831
05/18/2004,03:00:00 AM,0.2,812.25,-200,1.23283391781308,521.25,-200,1412.75,-200,1233,469,21.200000286102,32.875,0.817830120162335
05/18/2004,04:00:00 AM,-200,831.5,-200,1.5250733067473,546.75,15,1319.5,23,1253.75,468.75,18.324999809265,39.999999046326,0.834513300112691
05/18/2004,05:00:00 AM,0.5,903.25,-200,3.06405091439911,656,38,1155.25,37,1361.25,618,17.025000095367,44.64999961853,0.859291134404776
05/18/2004,06:00:00 AM,0.9,1021.6666666667,-200,6.27910884132264,824.66666666667,68,930.66666666667,54,1487.3333333333,930.66666666667,17.13333384196,45.333333333333,0.878354308894731
05/18/2004,07:00:00 AM,2.7,1378,-200,19.2998090694086,1276.75,192,628.25,94,1970,1519,17.125,46.525000572205,0.900975336939279
05/18/2004,08:00:00 AM,6.5,1745,-200,38.9159559523208,1748.25,346,484.25,139,2604.5,2053.75,18.825000286102,39.724999427795,0.854744867287841
05/18/2004,09:00:00 AM,3.2,1326,-200,14.6339752138226,1137,225,718.75,115,1759.5,1549.75,20.25,38.10000038147,0.894612414211662
05/18/2004,10:00:00 AM,2.4,1215.25,-200,12.345313148543,1061.5,199,793.75,119,1650.25,1381,25.25,27.025000095367,0.85648855671143
05/18/2004,11:00:00 AM,1.9,1138.25,-200,11.0260140772189,1015.25,140,853.75,103,1604.25,1115.25,27.449999809265,22.800000667572,0.82191249657404
05/18/2004,12:00:00 PM,2.7,1243.75,-200,15.4361414715479,1162.25,162,765.25,123,1735.25,1188.5,29.950000286102,20.025000095367,0.833757011794009
05/18/2004,01:00:00 PM,2.9,1261,-200,17.0026905936449,1210,173,735.75,126,1768.5,1199.75,30.875,19.125000476837,0.839383959966045
05/18/2004,02:00:00 PM,2,1181.5,-200,12.4843953625866,1066.25,121,818,106,1663,964.5,30.625,20.150000095367,0.871888450998547
05/18/2004,03:00:00 PM,2.3,1207.5,-200,13.8118053462197,1110.5,133,783,127,1652.5,1018.25,32.199999809265,18.949999809265,0.896433886729548
05/18/2004,04:00:00 PM,1.9,1158.25,-200,10.0768669434167,980.5,96,861.5,105,1572.75,774.5,31.724999427795,19.5,0.898064217302321
05/18/2004,05:00:00 PM,3,1345.5,-200,19.3351630436351,1277.75,141,700.5,130,1873.25,1193.25,30.85000038147,20.525000095367,0.899550422195157
05/18/2004,06:00:00 PM,4.4,1442.75,-200,22.7331979153659,1370.5,221,664.25,160,1987.75,1425,27.474999427795,24.650000095367,0.889894569060752
05/18/2004,07:00:00 PM,4.7,1440.25,-200,25.5410080476839,1442.75,232,634.5,162,2067.75,1594,25.75,27.025000095367,0.882076747199279
05/18/2004,08:00:00 PM,3.4,1231.75,-200,15.7912929492555,1173.25,174,750.75,135,1749.75,1283.5,23.650000095367,29.950000286102,0.863280025429722
05/18/2004,09:00:00 PM,2.4,1159.25,-200,12.3161173602979,1060.5,138,811.75,122,1648.25,1173.75,22.175000190735,33.375,0.880639748242382
05/18/2004,10:00:00 PM,1.2,1081.25,-200,8.74410616716456,929.25,65,910,75,1518.25,936.5,21.10000038147,36.474999427795,0.901902291358123
05/18/2004,11:00:00 PM,1.7,1082.5,-200,8.28292428644746,910.75,107,883.25,96,1507,984.5,20.175000190735,38.575000762939,0.901630056253694
05/19/2004,12:00:00 AM,1.2,1069.25,-200,7.7065580782466,887,70,859,84,1541.5,1040.5,19.324999809265,42.97500038147,0.953546659042245
05/19/2004,01:00:00 AM,0.7,939.75,-200,4.23361958700393,723.5,44,1012.25,68,1407,866.5,19.174999713898,43.625,0.959091969835397
05/19/2004,02:00:00 AM,0.5,900.5,-200,3.01583630343583,653,41,1094,65,1367,822,18.425000190735,45.72500038147,0.959865869478055
05/19/2004,03:00:00 AM,0.3,847.75,-200,1.83043122583498,571.25,-200,1224.25,-200,1297.25,623.75,18.699999809265,44.275000572205,0.945334796987828
05/19/2004,04:00:00 AM,-200,845.5,-200,2.18359338934864,597.5,33,1210.75,52,1332.25,668.5,16.325000047684,51.400000572205,0.946838827715959
05/19/2004,05:00:00 AM,0.3,848,-200,2.19407201105849,598.25,32,1219.25,46,1318,628.25,16.999999523163,49.224999427795,0.945861116400863
05/19/2004,06:00:00 AM,0.7,980.25,-200,5.74894973158004,800,46,983.25,54,1461.5,809.5,16.350000143051,52.099999427795,0.961238203772469
05/19/2004,07:00:00 AM,3.1,1408.25,-200,20.8813785890497,1320.75,173,618.25,94,2043.75,1494.75,16.375000238419,53.375,0.986305476640219
05/19/2004,08:00:00 AM,6.2,1716,-200,36.6920625306725,1701,320,489.75,155,2544.75,2017.5,18.550000190735,46.800000190735,0.990044060166954
05/19/2004,09:00:00 AM,4.6,1475,-200,22.0087134725538,1351.25,294,625.25,165,2005.5,1696,21.025000095367,41.050000190735,1.01041856630765
05/19/2004,10:00:00 AM,2.6,1262.25,-200,13.3705428419726,1096,182,771.75,134,1710.5,1339.5,26.375,28.900000572205,0.978496953479697
05/19/2004,11:00:00 AM,2.1,1155.75,-200,11.5461034892831,1033.75,154,813.25,122,1640,1123,27.724999427795,26.349999904633,0.965174072701005
05/19/2004,12:00:00 PM,2,1191.5,-200,13.3856570333458,1096.5,118,796.25,113,1688,971,30.099999904633,22.099999904633,0.928070531151999
05/19/2004,01:00:00 PM,2.2,1232.75,-200,15.1560976473651,1153.5,116,746,115,1739.5,999.75,31,22.949999809265,1.01443624846638
05/19/2004,02:00:00 PM,2.1,1208,-200,12.9726733462054,1082.75,121,792,118,1702,891.25,31,22.64999961853,1.00117563537018
05/19/2004,03:00:00 PM,2.3,1214.5,-200,13.988477707942,1116.25,116,783.5,125,1715.25,851.75,31.574999809265,21,0.958980850415571
05/19/2004,04:00:00 PM,2.5,1251,-200,15.5085058083693,1164.5,144,747.25,135,1774.25,974.5,30.375000476837,24.674999713898,1.05259069737762
05/19/2004,05:00:00 PM,3.4,1357.75,-200,19.3263219640583,1277.5,176,689.25,149,1898.5,1192,28.849999904633,26.275000095367,1.02707899511671
05/19/2004,06:00:00 PM,4.3,1378.75,-200,21.9153592499764,1348.75,214,645,162,1960.75,1372.75,26.425000190735,30.050000190735,1.02041519181244
05/19/2004,07:00:00 PM,3.8,1379,-200,21.0644543623715,1325.75,191,659.25,151,1960.75,1306.75,24.700000286102,31.525000095367,0.967159435725815
05/19/2004,08:00:00 PM,3.8,1372.75,-200,18.4162843480924,1251.5,205,669.5,154,1889,1325,22.949999809265,36.47500038147,1.00828808394696
05/19/2004,09:00:00 PM,2,1197,-200,9.26107415981969,949.5,110,822.75,118,1591.5,918,20.800000190735,41.824998855591,1.01552340483136
05/19/2004,10:00:00 PM,1.7,1238.25,-200,9.0041992473233,939.5,95,814.75,103,1622.25,877,19.675000190735,47.050000190735,1.0666108111996
05/19/2004,11:00:00 PM,2,1254.75,-200,9.61272926369702,963,126,780.75,122,1664.5,1023.5,18.949999809265,52.174999237061,1.13129976313635
05/20/2004,12:00:00 AM,1.5,1164.25,-200,8.22142084009493,908.25,90,821,102,1573.5,1018.5,18.450000286102,50.125000953674,1.05385734165112
05/20/2004,01:00:00 AM,0.8,1046,-200,5.81236200880325,803,48,899.5,73,1490,822.75,18,52.974999427795,1.08320337782988
05/20/2004,02:00:00 AM,0.5,956,-200,3.14513187063893,661,38,1042.5,59,1398,701,18.375,51.700000762939,1.08194662483968
05/20/2004,03:00:00 AM,0.3,885.25,-200,1.74393726255512,564.5,-200,1217,-200,1328.5,541.5,19.799999713898,46.224999427795,1.05595771076107
05/20/2004,04:00:00 AM,-200,876.5,-200,1.55514064147657,549.25,14,1265.25,26,1316.75,462.75,19.575000286102,47.650000572205,1.07361507832968
05/20/2004,05:00:00 AM,0.3,924.75,-200,2.3430107411589,608.75,26,1168.25,35,1363,533.25,17.299999952316,54.050000190735,1.05817161473822
05/20/2004,06:00:00 AM,0.9,1086,-200,6.55720690292044,837.25,83,884.5,68,1552.5,905.75,15.775000333786,58.97500038147,1.04950139529727
05/20/2004,07:00:00 AM,2.8,1489.5,-200,19.6189871348711,1285.75,188,592.75,97,2052.5,1446.5,16.599999904633,55.949999809265,1.04855350336255
05/20/2004,08:00:00 AM,5.4,1762.75,-200,32.8882353821397,1617.25,253,489,146,2503.25,1835,18.700000286102,52.824999809265,1.12788958313433
05/20/2004,09:00:00 AM,4,1461.5,-200,18.0712629147204,1241.5,149,636.5,83,1960.5,1551.75,20.724999904633,46.449999809265,1.12268943435726
05/20/2004,10:00:00 AM,2.2,1232,-200,12.352616700066,1061.75,155,787.25,117,1707,1091.5,26.074999809265,29.974999427795,0.997210976512919
05/20/2004,11:00:00 AM,2.2,1238.5,-200,12.5064164136134,1067,146,779.25,117,1701.5,1071.25,28.64999961853,25.849999427795,0.998889153170633
05/20/2004,12:00:00 PM,2,1218,-200,12.0330047450844,1050.75,121,795.5,108,1688.75,881.25,30.250000476837,23.299999713898,0.986876271764375
05/20/2004,01:00:00 PM,2,1235.25,-200,13.310158892741,1094,111,755.75,107,1728.75,907.25,31.349999904633,22.275000095367,1.00433437237905
05/20/2004,02:00:00 PM,1.9,1195.5,-200,12.3161173602979,1060.5,116,791,120,1649.25,899.25,31.074999809265,22.27499961853,0.988799581783697
05/20/2004,03:00:00 PM,2.7,1287.5,-200,15.9701587982593,1178.75,167,717.25,150,1798.5,1074.25,32.35000038147,20.400000572205,0.973209495192057
05/20/2004,04:00:00 PM,2.2,1247.5,-200,13.7429334276884,1108.25,145,772,138,1700.5,969.25,32.60000038147,19.325000286102,0.934973886787952
05/20/2004,05:00:00 PM,3.5,1401.25,-200,21.6734305312636,1342.25,192,663,148,1958.75,1267,31.199999809265,20.275000095367,0.906421591805971
05/20/2004,06:00:00 PM,4.1,1401.25,-200,23.7179084929824,1396.25,231,644.75,168,2008.75,1401.5,27.749999523163,24.824999809265,0.910634392816938
05/20/2004,07:00:00 PM,4.4,1444,-200,22.1115984511397,1354,248,655,172,1955.75,1437.25,25.699999809265,27.89999961853,0.907963326077526
05/20/2004,08:00:00 PM,4.5,1379.25,-200,20.5717148773256,1312.25,267,683,179,1869.75,1381.5,24.14999961853,29.900000095367,0.887869248032435
05/20/2004,09:00:00 PM,2.9,1251,-200,13.3906967147979,1096.6666666667,181,770.66666666667,143,1679.6666666667,1280.3333333333,22.166666666667,34.399998982747,0.907230245512108
05/20/2004,10:00:00 PM,2.6,1268.75,-200,12.786780174373,1076.5,163,773,137,1705.5,1249.75,20.650000095367,38.025000572205,0.91487565063723
05/20/2004,11:00:00 PM,2.1,1242.25,-200,12.3015305191327,1060,141,745,117,1692.5,1359.25,20.150000095367,42.775000572205,0.998273931232409
05/21/2004,12:00:00 AM,1.2,1044.5,-200,6.84989194384039,850.25,78,888.5,93,1505.5,1101.5,20.474999904633,42.024998664856,1.00040090373162
05/21/2004,01:00:00 AM,0.6,936.5,-200,3.77732252900744,698.25,42,1039.25,64,1381.5,768.25,20.075000286102,42.02499961853,0.976289379524888
05/21/2004,02:00:00 AM,0.3,874.75,-200,2.52944050418141,621.5,35,1166.5,58,1330.75,656.25,19.974999904633,41.450000762939,0.957066194216113
05/21/2004,03:00:00 AM,0.3,889.25,-200,2.70660731056988,633.25,-200,1123,-200,1344.25,683.25,16.250000238419,51.60000038147,0.946064701753099
05/21/2004,04:00:00 AM,-200,888,-200,2.80680336420861,639.75,33,1088.5,47,1330,670.25,16.450000286102,50.199999809265,0.932003012836446
05/21/2004,05:00:00 AM,0.3,880.5,-200,2.56296987269898,623.75,38,1135.25,47,1319.25,656.25,16.425000667572,50.22500038147,0.931008536440919
05/21/2004,06:00:00 AM,0.7,997.5,-200,6.96963322926681,855.5,65,893.75,62,1487.75,925.75,14.900000095367,54.650000572205,0.920294606631776
05/21/2004,07:00:00 AM,4.2,1517,-200,26.2117715385019,1459.5,296,550.5,113,2204.5,1676.75,16.35000038147,51.349999427795,0.947400815608107
05/21/2004,08:00:00 AM,4.8,1521.75,-200,28.2267738416895,1508.75,303,542.75,126,2274.5,1827.75,18.199999809265,46.249999046326,0.957476212634135
05/21/2004,09:00:00 AM,3.4,1416.75,-200,20.2189441995035,1302.5,244,635,139,1964.25,1752.25,20.675000190735,40.000000953674,0.963858580273398
05/21/2004,10:00:00 AM,2.8,1329,-200,17.1200481443404,1213.5,216,699.5,148,1845,1580.5,26.5,27.025000095367,0.921729629345709
05/21/2004,11:00:00 AM,1.8,1203,-200,11.2496633499935,1023.25,137,824.5,117,1622,1132.25,28.525000095367,23.849999904633,0.914985180398278
05/21/2004,12:00:00 PM,1.9,1233.5,-200,11.638524261033,1037,120,788.25,106,1657.75,1037,29.675000190735,23.700000286102,0.971365189917939
05/21/2004,01:00:00 PM,2,1285.75,-200,13.1822301277499,1089.75,100,750.25,98,1718.75,1023.25,31.674999237061,21.699999809265,0.996564760375757
05/21/2004,02:00:00 PM,1.9,1298,-200,12.742336107886,1075,103,748.75,98,1689.5,1021.75,31.72500038147,21.499999523163,0.99017339918303
05/21/2004,03:00:00 PM,2,1308,-200,12.9950573600042,1083.5,123,757.25,110,1724,988.75,32.775000572205,19.47500038147,0.951533720664666
05/21/2004,04:00:00 PM,2.3,1276,-200,13.4689151691736,1099.25,136,783,114,1679.75,924.75,32.474999427795,18.625,0.894799169116799
05/21/2004,05:00:00 PM,2.7,1233.5,-200,10.1842633921873,984.5,158,814.5,122,1571.5,794.5,30.199999809265,22.550000190735,0.952389016113732
05/21/2004,06:00:00 PM,3.6,1419,-200,20.1199154287483,1299.75,216,670.25,155,1923.25,1262.75,27.64999961853,25.72500038147,0.938189363718868
05/21/2004,07:00:00 PM,3.8,1324.75,-200,19.1498625538552,1272.5,211,716.25,145,1814.5,1183.5,25.925000190735,24.85000038147,0.819467346583955
05/21/2004,08:00:00 PM,3.5,1345.5,-200,17.4826527392749,1224.25,202,714.5,146,1794,1271.5,23.875,29.400000095367,0.858861067655267
05/21/2004,09:00:00 PM,2.5,1241,-200,13.8041456631867,1110.25,147,771.5,130,1697.75,1176.5,22.25,32.125,0.851492466939332
05/21/2004,10:00:00 PM,2.5,1274.25,-200,13.3177005133789,1094.25,160,770.5,126,1682.25,1230.5,20.5,35.925000190735,0.856494168600568
05/21/2004,11:00:00 PM,3,1321.25,-200,14.8387281116418,1143.5,162,731.75,127,1744.75,1242.75,19.800000667572,37.249999046326,0.850934050862562
05/22/2004,12:00:00 AM,3.7,1423.5,-200,18.0025926657853,1239.5,194,661.5,126,1841,1427,19.099999904633,41.85000038147,0.915836871172683
05/22/2004,01:00:00 AM,3.3,1357.25,-200,15.9538627836655,1178.25,167,673.75,124,1782.25,1454,17.849999904633,46.125,0.934410369822109
05/22/2004,02:00:00 AM,1.5,1123.25,-200,9.67846293726058,965.5,91,770,93,1594.25,1183,17.550000190735,47.599999427795,0.94649903188548
05/22/2004,03:00:00 AM,0.7,1003.25,-200,6.17184661480103,819.75,-200,901.75,-200,1454.75,907.75,17.875,46.300000190735,0.939410731036149
05/22/2004,04:00:00 AM,-200,950.5,-200,4.0457173102022,713.25,42,993.5,58,1385,821.25,16.949999570847,49.824999809265,0.954408288532745
05/22/2004,05:00:00 AM,0.5,941.25,-200,3.58120245909574,687,50,1023.5,59,1374.25,777.25,15.849999666214,53.77499961853,0.961488277445492
05/22/2004,06:00:00 AM,0.5,986,-200,4.62988452950906,744.5,61,959,66,1426.25,887.5,16.450000286102,53.474999427795,0.992805991384362
05/22/2004,07:00:00 AM,1.2,1153.25,-200,9.1836883293473,946.5,107,794.5,80,1642.5,1075.75,17.174999713898,52.900000572205,1.02762653109886
05/22/2004,08:00:00 AM,2.2,1322.5,-200,14.6339752138226,1137,139,696.25,94,1845.5,1284.75,19.324999809265,48.325000762939,1.07225462749695
05/22/2004,09:00:00 AM,2.2,1315.25,-200,11.7241144048862,1040,165,743.25,102,1740,1315.25,20.575000286102,47.125000953674,1.1286573661887
05/22/2004,10:00:00 AM,2.1,1302.5,-200,11.0120996053315,1014.75,139,776.75,96,1730.75,1250,23.650000572205,40,1.15296165839386
05/22/2004,11:00:00 AM,1.8,1238.25,-200,11.6242852369327,1036.5,113,812.5,91,1698,977.75,25.625000476837,32.500000476837,1.05300846016812
05/22/2004,12:00:00 PM,2.2,1258.5,-200,12.8981788248647,1080.25,138,771.75,104,1736,1072.25,27.224999904633,28.074999809265,0.998912641471794
05/22/2004,01:00:00 PM,2,1246,-200,12.5873017691848,1069.75,104,769.75,84,1747.25,1064.25,27.925000667572,28.050000190735,1.03942487603164
05/22/2004,02:00:00 PM,1.4,1154,-200,8.30758036552549,911.75,78,871.5,76,1604.5,825,28.349999904633,27.75,1.05390330664412
05/22/2004,03:00:00 PM,1.8,1237,-200,10.5298228261072,997.25,97,800.25,87,1687.75,924,29.249999523163,27.025000095367,1.08097501702983
05/22/2004,04:00:00 PM,2.1,1315,-200,11.7384054162647,1040.5,115,773,101,1766.75,965.5,28.925000190735,29.300000190735,1.15028028222038
05/22/2004,05:00:00 PM,2.8,1466.25,-200,15.8075179820536,1173.75,152,680,115,1964.75,1301.5,25.449999809265,39.824999809265,1.27711704784194
05/22/2004,06:00:00 PM,2.8,1409,-200,13.8731480090456,1112.5,157,710,110,1849.5,1255.5,25.150000095367,40.124999046326,1.26417963776273
05/22/2004,07:00:00 PM,2.7,1366.25,-200,15.7102743679626,1170.75,132,693,103,1933.25,1068.25,24.525000095367,39.400000572205,1.19629363544143
05/22/2004,08:00:00 PM,1.8,1240.5,-200,10.9079799570192,1011,98,780.5,90,1747.5,1069.75,22.325000286102,45.39999961853,1.20879652851233
05/22/2004,09:00:00 PM,1.2,1122.5,-200,6.44608933597551,832.25,65,930,68,1565.25,791.5,21.224999904633,48.300001144409,1.20337913625142
05/22/2004,10:00:00 PM,2.6,1320.75,-200,12.7497388705778,1075.25,101,756.75,85,1891.25,1016.75,20.550000190735,50.52499961853,1.20824815555987
05/22/2004,11:00:00 PM,3.1,1397,-200,15.3318700568173,1159,134,681.25,100,1948.75,1206.5,20.150000095367,52.874999046326,1.23398556296418
05/23/2004,12:00:00 AM,4.1,1507.25,-200,20.508205559644,1310.5,177,607.5,114,2107,1498.75,19.849999904633,54.5,1.2488050124221
05/23/2004,01:00:00 AM,3.6,1405.25,-200,15.9050173043476,1176.75,179,659.75,108,1931,1474,19.525000095367,56.200000762939,1.26238258648811
05/23/2004,02:00:00 AM,1.9,1192,-200,10.4344740653145,993.75,105,758.75,78,1780,1163,18.950000286102,58.025000572205,1.25814417421623
05/23/2004,03:00:00 AM,1.9,1199.25,-200,12.6020320763851,1070.25,-200,671,-200,1872.5,1188.5,18.099999904633,61.625,1.26790148622838
05/23/2004,04:00:00 AM,-200,972.5,-200,4.94683321996541,760.75,49,953.75,55,1501.25,814.75,18,57.64999961853,1.17879518628024
05/23/2004,05:00:00 AM,0.3,864,-200,2.09025035634191,590.75,27,1246.75,37,1373.5,506.75,17.650000095367,56.049999237061,1.12146753884589
05/23/2004,06:00:00 AM,0.4,886,-200,2.19057676096473,598,41,1256.75,53,1374,505.5,17.924999713898,52.350001335144,1.06546053701745
05/23/2004,07:00:00 AM,0.8,988.25,-200,4.03211132847085,712.5,78,1092.25,79,1454.5,715.75,18.924999713898,49.275001525879,1.06677685981031
05/23/2004,08:00:00 AM,0.8,1008.25,-200,4.32659600300152,728.5,68,1033.75,65,1489.75,795,19.950000286102,48.575000762939,1.11986746041561
05/23/2004,09:00:00 AM,0.8,975.5,-200,3.77732252900744,698.25,64,1156.25,64,1393.25,593.75,20.550000190735,41.150000572205,0.984055668838037
05/23/2004,10:00:00 AM,0.8,978.25,-200,4.13234179510347,718,67,1137.25,66,1392,565,23.574999809265,33.97500038147,0.974927048685634
05/23/2004,11:00:00 AM,0.9,987.25,-200,4.53893215405238,739.75,54,1105,53,1407,522.5,26.699999809265,28.075000286102,0.968799812098945
05/23/2004,12:00:00 PM,1.2,1030,-200,5.28793839309669,777.75,67,1070.5,69,1451.5,591,26.825000286102,28.14999961853,0.978502672277811
05/23/2004,01:00:00 PM,1,954.66666666667,-200,4.2243693356581,723,51,1129,57,1393,558.66666666667,27.733333587646,25.833333333333,0.946706655801693
05/23/2004,02:00:00 PM,0.8,924.25,-200,3.33503208209205,672.5,28,1247,36,1346,429.5,28.849999904633,22.675000190735,0.886356472907405
05/23/2004,03:00:00 PM,1.1,1004.75,-200,4.89749022173958,758.25,51,1091,57,1434.25,521.75,26.77499961853,27.300000667572,0.946191074532134
05/23/2004,04:00:00 PM,1.5,1059,-200,6.09597102355096,816.25,77,1023,73,1467.75,641.25,25.85000038147,28.700000286102,0.942267926078303
05/23/2004,05:00:00 PM,1.5,1079.25,-200,6.85557384173051,850.5,93,991,81,1490,738.25,25.799999713898,27.724999904633,0.907587159869294
05/23/2004,06:00:00 PM,1.4,1070,-200,6.84421205455286,850,94,997.25,91,1502,778.25,24.75,29.5,0.907716290935398
05/23/2004,07:00:00 PM,1.1,1085.25,-200,5.84948937859079,804.75,69,972.25,65,1528.25,717.75,25.275000572205,36.27499961853,1.15133988622278
05/23/2004,08:00:00 PM,0.9,1066,-200,5.48276463369169,787.25,57,985.5,56,1551.5,689.25,23.875,40.35000038147,1.17874300323492
05/23/2004,09:00:00 PM,1,1093.5,-200,6.07436581400729,815.25,74,934.25,69,1562.75,852,21.425000190735,46.649998664856,1.17643249283986
05/23/2004,10:00:00 PM,1.1,1110,-200,6.04740530488203,814,75,947.5,73,1570.5,853.75,20.47500038147,49.275000572205,1.17298651044929
05/23/2004,11:00:00 PM,1,967.75,-200,4.1552676445624,719.25,73,1080.75,76,1388.25,664.25,19.224999904633,42.349999427795,0.933925927859826
05/24/2004,12:00:00 AM,0.7,906,-200,4.05025697922261,713.5,56,1162.75,67,1350.75,544.25,19.224999904633,37.875000953674,0.835240752922803
05/24/2004,01:00:00 AM,0.5,849.25,-200,2.43363760442311,615,31,1285.25,44,1275.75,461,17.22500038147,43.074999809265,0.839378017235909
05/24/2004,02:00:00 AM,0.2,774.25,-200,1.00982332118666,500,13,1536,21,1168.5,351.75,15.799999952316,45.174999237061,0.805185920671362
05/24/2004,03:00:00 AM,-200,746.25,-200,0.560247217792915,449.75,-200,1806.75,-200,1110.5,307.75,15.650000095367,42.27499961853,0.74641798438443
05/24/2004,04:00:00 AM,-200,753.25,-200,0.464417877248927,437,14,1903.75,19,1109.5,300.5,16.250000476837,40.974999427795,0.751259707479004
05/24/2004,05:00:00 AM,0.1,749,-200,0.691172995927238,465.75,23,1802.5,29,1088.75,306.75,16.125,36.499999046326,0.663985531963099
05/24/2004,06:00:00 AM,0.5,863.5,-200,2.83794485048949,641.75,72,1288,69,1254.75,441,16.525000095367,36.199998855591,0.675244628900867
05/24/2004,07:00:00 AM,1.6,1001.5,-200,7.83845417748981,892.5,165,1009.75,111,1394,775,17.474999904633,30.875,0.611076470986513
05/24/2004,08:00:00 AM,2,970,-200,9.68504680651757,965.75,118,943.5,81,1378.5,907,18.449999809265,24,0.504590024410416
05/24/2004,09:00:00 AM,1.3,897.5,-200,6.90110130512994,852.5,85,1065.5,56,1271.25,763.25,19.150000095367,23.849999904633,0.523535256182934
05/24/2004,10:00:00 AM,1,846.5,-200,5.75422275840595,800.25,116,1155.25,90,1178.5,648.5,21.72500038147,18.075000047684,0.464162819213403
05/24/2004,11:00:00 AM,0.9,847.25,-200,5.49310180883406,787.75,112,1202.5,85,1162.25,597.75,22.300000190735,16.974999904633,0.451288242580458
05/24/2004,12:00:00 PM,1.2,871.25,-200,6.79318347863997,847.75,100,1139.25,83,1207.75,578.5,22.775000095367,16.099999904633,0.440413268308618
05/24/2004,01:00:00 PM,1.3,869.25,-200,7.20595822273249,865.75,109,1107,85,1212,595.5,23.849999904633,14.474999904633,0.422228787598428
05/24/2004,02:00:00 PM,1.1,875.25,-200,6.9296211856909,853.75,111,1159.75,85,1200.25,594.75,25.125,13.125,0.412907023238962
05/24/2004,03:00:00 PM,1.2,895,-200,7.48098931991788,877.5,109,1121.75,81,1238,607,25.849999904633,12.850000143051,0.421886499131136
05/24/2004,04:00:00 PM,1.4,925.75,-200,7.65287582436705,884.75,114,1100.5,92,1259.25,661.75,25.5,13.974999904633,0.449474887557606
05/24/2004,05:00:00 PM,2,996,-200,11.9536604135695,1048,139,958.75,108,1397.25,822.25,24.450000286102,15.424999952316,0.466268357909875
05/24/2004,06:00:00 PM,2.4,996.75,-200,13.4992454096462,1100.25,157,896,106,1392,986.5,22.599999427795,17.199999809265,0.465589027340644
05/24/2004,07:00:00 PM,2.1,1005.75,-200,11.9608642859333,1048.25,147,924.5,114,1416.25,966.25,21.249999523163,18.874999523163,0.470977511621574
05/24/2004,08:00:00 PM,1.2,894.5,-200,6.73103645452095,845,102,1072,96,1240.5,763,19.14999961853,22.825000286102,0.501035306906515
05/24/2004,09:00:00 PM,0.7,861.5,-200,4.75559008085243,751,73,1153.5,77,1213.25,617.25,18.424999713898,24.625,0.516931572280097
05/24/2004,10:00:00 PM,0.7,858.25,-200,4.84835826301662,755.75,65,1158.5,73,1209,564.25,17.349999904633,25.625000476837,0.503240727275151
05/24/2004,11:00:00 PM,0.8,853,-200,4.97654018818773,762.25,76,1133.75,86,1184,645.75,16.5,24.925000190735,0.464203279864376
05/25/2004,12:00:00 AM,0.5,858.75,-200,4.29395632425849,726.75,65,1119.75,84,1187.25,752.5,16.650000095367,28.275000572205,0.531558622609298
